beijing;116.46;39.92
tianjin;117.2;39.13
shanghai;121.48;31.22
chongqing;106.54;29.59
lasa;91.11;29.97
wulumuqi;87.68;43.77
yinchuan;106.27;38.47
huhehaote;111.65;40.82
nanning;108.33;22.84
haerbin;126.63;45.75
changchun;125.35;43.88
shenyang;123.38;41.8
shijiazhuang;114.48;38.03
taiyuan;112.53;37.87
xi'ning;101.74;36.56
ji'nan;117;36.65
zhenzhou;113.6;34.76
nanjing;118.78;32.04
hefei;117.27;31.86
hangzhou;120.19;30.26
fuzhou;119.3;26.08
nanchang;115.89;28.68
changsha;113;28.21
wuhan;114.31;30.52
guangzhou;113.23;23.16
taibei;121.5;25.05
haikou;110.35;20.02
lanzhou;103.73;36.03
xi'an;108.95;34.27
chengdu;104.06;30.67
guiyang;106.71;26.57
kunming;102.73;25.04
xianggang;114.1;22.2
aomen;113.33;22.13
